date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:13:31	1450/1450	---MCZ	404	error ('Not%20Found')	text/html	etag:1688311134-ssl-df	https://ssagovclaim.netlify.app/robots.txt		(from )
02:13:31	50041/50041	---MCZ	200	added ('OK')	text/html	etag:%2217d14b9875a49076df20fc4f9d9eba08-ssl-df%22	https://ssagovclaim.netlify.app/apply/	C:/Users/DARAMOLA/Documents/ssn2/ssagovclaim.netlify.app/apply/index.html	(from )
02:13:32	97/97	---M--	200	added ('OK')	application/javascript	etag:%221ea69a63a45cf9ca5e2a36c4ff6fa2ed-ssl%22	https://ssagovclaim.netlify.app/settings.js	C:/Users/DARAMOLA/Documents/ssn2/ssagovclaim.netlify.app/settings.js	(from https://ssagovclaim.netlify.app/apply/)
02:13:33	97591/97591	---MCZ	200	added ('OK')	text/css	etag:%22ab8d62a7748f52f94037fef431c5baab-ssl-df%22	https://ssagovclaim.netlify.app/wp-includes/css/dist/block-library/style.minae48.css	C:/Users/DARAMOLA/Documents/ssn2/ssagovclaim.netlify.app/wp-includes/css/dist/block-library/style.minae48.css	(from https://ssagovclaim.netlify.app/apply/)
02:13:34	291/291	---M--	200	added ('OK')	text/css	etag:%2200fe7f3dd33eca8c660fdb1b12715524-ssl%22	https://ssagovclaim.netlify.app/wp-includes/css/classic-themes.minae48.css	C:/Users/DARAMOLA/Documents/ssn2/ssagovclaim.netlify.app/wp-includes/css/classic-themes.minae48.css	(from https://ssagovclaim.netlify.app/apply/)
02:13:35	2859/2859	---MCZ	200	added ('OK')	text/css	etag:%22244069cdf501e21e80bf75cb5b02d8c1-ssl-df%22	https://ssagovclaim.netlify.app/wp-content/plugins/contact-form-7/includes/css/styles4999.css	C:/Users/DARAMOLA/Documents/ssn2/ssagovclaim.netlify.app/wp-content/plugins/contact-form-7/includes/css/styles4999.css	(from https://ssagovclaim.netlify.app/apply/)
02:13:35	316/316	---M--	200	added ('OK')	text/css	etag:%22b91ba972b7a5e7a629198b4a0c24fffe-ssl%22	https://ssagovclaim.netlify.app/wp-content/plugins/wpcf7-redirect/build/css/wpcf7-redirect-frontend.minae48.css	C:/Users/DARAMOLA/Documents/ssn2/ssagovclaim.netlify.app/wp-content/plugins/wpcf7-redirect/build/css/wpcf7-redirect-frontend.minae48.css	(from https://ssagovclaim.netlify.app/apply/)
02:13:36	66/66	---M--	200	added ('OK')	text/css	etag:%223f854d57b592701750d2ef632cacb0db-ssl%22	https://ssagovclaim.netlify.app/wp-content/plugins/ultimate-addons-for-contact-form-7/assets/css/uacf7-frontendae48.css	C:/Users/DARAMOLA/Documents/ssn2/ssagovclaim.netlify.app/wp-content/plugins/ultimate-addons-for-contact-form-7/assets/css/uacf7-frontendae48.css	(from https://ssagovclaim.netlify.app/apply/)
02:13:37	59357/59357	---MCZ	200	added ('OK')	text/css	etag:%2290aea665455f6c90fc3cb2b16b5697e3-ssl-df%22	https://ssagovclaim.netlify.app/wp-content/themes/oceanwp/assets/fonts/fontawesome/css/all.min9e0b.css	C:/Users/DARAMOLA/Documents/ssn2/ssagovclaim.netlify.app/wp-content/themes/oceanwp/assets/fonts/fontawesome/css/all.min9e0b.css	(from https://ssagovclaim.netlify.app/apply/)
02:13:38	10903/10903	---MCZ	200	added ('OK')	text/css	etag:%22febfe7e48f405a979d51e6a307478fc7-ssl-df%22	https://ssagovclaim.netlify.app/wp-content/themes/oceanwp/assets/css/third/simple-line-icons.min8d5a.css	C:/Users/DARAMOLA/Documents/ssn2/ssagovclaim.netlify.app/wp-content/themes/oceanwp/assets/css/third/simple-line-icons.min8d5a.css	(from https://ssagovclaim.netlify.app/apply/)
